now_us,bytes_acked,mss,rtt_us,tp_delivered_rate,tp_rate_interval_us,tp_delivered,lost,retrans,app_limited
102581560,38788740,1308,24178759,14199,36286579,29656,0,0,0
102586075,38790048,1308,24180926,14200,36286579,29657,0,0,0
102621432,38791356,1308,24215110,14198,36283558,29658,0,0,0
102621555,38792664,1308,24215233,14199,36284731,29659,0,0,0
102626272,38793972,1308,24217604,14200,36284731,29660,0,0,0
102656362,38795280,1308,24247694,14195,36252333,29661,0,0,0
102660799,38796588,1308,24249787,14196,36252333,29662,0,0,0
102663784,38797896,1308,24252772,14197,36254677,29663,0,0,0
102695893,38799204,1308,24282537,14198,36254677,29664,0,0,0
102700403,38800512,1308,24287047,14199,36257021,29665,0,0,0
102705698,38801820,1308,24289998,14200,36257021,29666,0,0,0
102722470,38803128,1308,24306770,14201,36259365,29667,0,0,0
102737034,38804436,1308,24318990,14202,36259365,29668,0,0,0
102745473,38805744,1308,24327429,14203,36261709,29669,0,0,0
102762110,38807052,1308,24341721,14204,36261709,29670,0,0,0
102781276,38808360,1308,24360887,14205,36264054,29671,0,0,0
102785809,38809668,1308,24363076,14206,36264054,29672,0,0,0
102816010,38810976,1308,24393277,14207,36266398,29673,0,0,0
102816115,38812284,1308,24391038,14208,36266398,29674,0,0,0
102861347,38813592,1308,24436270,14209,36268742,29675,0,0,0
102861454,38814900,1308,24434033,14210,36268742,29676,0,0,0
102863373,38816208,1308,24435952,14211,36271086,29677,0,0,0
102900640,38817516,1308,24470875,14212,36271086,29678,0,0,0
102903546,38818824,1308,24473781,14213,36273430,29679,0,0,0
102941299,38820132,1308,24509190,14214,36273430,29680,0,0,0
102943288,38821440,1308,24511179,14215,36275774,29681,0,0,0
102943392,38822748,1308,24508939,14216,36275774,29682,0,0,0
102981808,38824056,1308,24546183,14217,36278118,29683,0,0,0
102981913,38825364,1308,24546288,14218,36279290,29684,0,0,0
103025186,38826672,1308,24587217,14219,36279290,29685,0,0,0
103025305,38827980,1308,24587336,14220,36281634,29686,0,0,0
103025354,38829288,1308,24585041,14221,36281634,29687,0,0,0
103062374,38830596,1308,24622061,14210,36236808,29688,0,0,0
103065098,38831904,1308,24622444,14211,36236808,29689,0,0,0
103080469,38833212,1308,24637815,14212,36239149,29690,0,0,0
103102757,38834520,1308,24657763,14213,36239149,29691,0,0,0
103121479,38835828,1308,24676485,14213,36210820,29692,0,0,0
103140109,38837136,1308,24692775,14214,36210820,29693,0,0,0
103143494,38838444,1308,24696160,14209,36205994,29694,0,0,0
103182406,38839752,1308,24732734,14210,36205994,29695,0,0,0
103182519,38841060,1308,24732847,14211,36208332,29696,0,0,0
103221685,38842368,1308,24769675,14212,36208332,29697,0,0,0
103221788,38843676,1308,24769778,14213,36210670,29698,0,0,0
103261219,38844984,1308,24806871,14214,36210670,29699,0,0,0
103261329,38846292,1308,24806981,14215,36213008,29700,0,0,0
103265159,38847600,1308,24808473,14216,36213008,29701,0,0,0
103302183,38848908,1308,24845497,14217,36215346,29702,0,0,0
103305174,38850216,1308,24846150,14218,36215346,29703,0,0,0
103342134,38851524,1308,24883110,14219,36217684,29704,0,0,0
103342239,38852832,1308,24880877,14220,36217684,29705,0,0,0
103345241,38854140,1308,24883879,14221,36220022,29706,0,0,0
103381249,38855448,1308,24917549,14222,36220022,29707,0,0,0
