now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_cwnd,snd_una
2088648,9827392,1376,366624,3343,369589,7143,0,0,0,2807837312,58392840,7134.0,
2088669,9832896,1376,366645,3361,369682,7147,0,0,0,2807837312,57885809,7152.0,
2088691,9841152,1376,365734,3365,369703,7153,0,0,0,2807837312,57356752,7156.0,
2088710,9843904,1376,365753,3371,369725,7155,0,0,0,2807837312,56921583,7162.0,
2098281,9849408,1376,375324,3373,369744,7159,0,0,0,2807974912,56539654,7164.0,
2098352,9878304,1376,375395,3377,379315,7180,0,0,0,2808018944,56036389,7168.0,
2098410,9886560,1376,375453,3398,379386,7186,0,0,0,2808039584,55738063,7189.0,
2098431,9897568,1376,375474,3404,379444,7194,0,0,0,2808093248,55384643,7195.0,
2098447,9918208,1376,374557,3412,379465,7209,0,0,0,2808093248,55100164,7203.0,
2098465,9925088,1376,374575,3427,379481,7214,0,0,0,2808093248,54914695,7218.0,
2118194,9938848,1376,394304,3432,379499,7224,0,0,0,2808168928,54709756,7223.0,
2118285,9991136,1376,393462,3442,399228,7262,0,0,0,2808197824,54207846,7233.0,
2118322,10010400,1376,393499,3480,399319,7276,0,0,0,2808285888,53992817,7271.0,
2121043,10017280,1376,396220,3494,399356,7281,0,0,0,2808298272,53682176,7285.0,
2125256,10046176,1376,399500,3499,402077,7302,0,0,0,2808349184,53312942,7290.0,
2125331,10053056,1376,399575,3498,401179,7307,0,0,0,2808362944,53041441,7311.0,
2125358,10066816,1376,399602,3503,401254,7317,0,0,0,2808413856,52725839,7316.0,
2125404,10091584,1376,399648,3513,401281,7335,0,0,0,2808413856,52492952,7326.0,
2125419,10098464,1376,398718,3531,401327,7340,0,0,0,2808413856,52356531,7344.0,
2131023,10109472,1376,404322,3536,401342,7348,0,0,0,2808492288,52161735,7349.0,
2131095,10164512,1376,403448,3544,406946,7388,0,0,0,2808539072,51940596,7357.0,
2131131,10196160,1376,403484,3584,407018,7411,0,0,0,2808606496,51979734,7397.0,
2131148,10231936,1376,402555,3607,407054,7437,0,0,0,2808606496,51944721,7420.0,
2141396,10234688,1376,412803,3633,407071,7439,0,0,0,2808750976,51955022,7446.0,
2141482,10240192,1376,412889,3635,417319,7443,0,0,0,2808789504,51667723,7448.0,
2141504,10242944,1376,412911,3639,417405,7445,0,0,0,2808789504,51433205,7452.0,
2161460,10245696,1376,432867,3641,417427,7447,0,0,0,2808789504,51219271,7454.0,
2161546,10251200,1376,432953,3643,437383,7451,0,0,0,2808811520,50720649,7456.0,
2161576,10264960,1376,432983,3647,437469,7461,0,0,0,2808815648,50306317,7460.0,
2162312,10300736,1376,432773,3657,437499,7487,0,0,0,2808815648,49992695,7470.0,
2162359,10335136,1376,432820,3666,434077,7512,0,0,0,2808863808,49825745,7496.0,
2175340,10342016,1376,445801,3691,434124,7517,0,0,0,2808944992,49709795,7521.0,
2175427,10350272,1376,445888,3696,447105,7523,0,0,0,2808991776,49307217,7526.0,
2175448,10357152,1376,444958,3702,447192,7528,0,0,0,2808991776,48970013,7532.0,
2175474,10383296,1376,444984,3707,447213,7547,0,0,0,2808991776,48677229,7537.0,
2186555,10388800,1376,456065,3726,447239,7551,0,0,0,2809074336,48531221,7556.0,
2186645,10402560,1376,456155,3730,458320,7561,0,0,0,2809097728,48169101,7560.0,
2186667,10454848,1376,455225,3740,458410,7599,0,0,0,2809097728,47896852,7570.0,
2186704,10463104,1376,455262,3778,458432,7605,0,0,0,2809184416,47845379,7608.0,
2210442,10469984,1376,479000,3784,458469,7610,0,0,0,2809203680,47642763,7614.0,
2210531,10483744,1376,479089,3789,482207,7620,0,0,0,2809249088,47148875,7619.0,
2220255,10531904,1376,487861,3799,482296,7655,0,0,0,2809268352,46758884,7629.0,
2220359,10559424,1376,487022,3632,488916,7675,0,0,0,2809377056,46458537,7664.0,
2220383,10564928,1376,487046,3587,488897,7679,0,0,0,2809377056,46147959,7684.0,
2221016,10577312,1376,487679,3591,488921,7688,0,0,0,2809377056,45811857,7688.0,
2226003,10628224,1376,491734,3600,489554,7725,0,0,0,2809462368,45546839,7697.0,
2230229,10664000,1376,495960,3637,494541,7751,0,0,0,2809571072,45428730,7734.0,
2230321,10690144,1376,495121,3663,498767,7770,0,0,0,2809635744,45250090,7760.0,
2231230,10692896,1376,496030,3682,498859,7772,0,0,0,2809699040,45073078,7779.0,
2231255,10695648,1376,496055,3684,499768,7774,0,0,0,2809699040,44836005,7781.0,
2231269,10709408,1376,496069,3686,499793,7784,0,0,0,2809699040,44631843,7783.0,
2231284,10716288,1376,496084,3696,499807,7789,0,0,0,2809699040,44501755,7793.0,
2231300,10731424,1376,496100,3701,499822,7800,0,0,0,2809699040,44367320,7798.0,
2237490,10734176,1376,502290,3712,499838,7802,0,0,0,2809763712,44287881,7809.0,
2237560,10745184,1376,501428,3714,506028,7810,0,0,0,2809785728,44105529,7811.0,
2237580,10753440,1376,501448,3652,503299,7816,0,0,0,2809785728,43981645,7819.0,
2237599,10808480,1376,501467,3658,503319,7856,0,0,0,2809785728,43878612,7825.0,
