now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate,snd_una,cwnd_MB,ssthresh_pkt
109563746,13463244,1308,41895973,3207,41959120,10294,0,0,0,273100634,180317,266810462,6.292788,48
109603504,13464552,1308,41935731,3207,41919352,10295,0,0,0,273103250,180307,266811770,6.292788,48
109603651,13465860,1308,41919773,3208,41959110,10296,0,0,0,273105866,180315,266813078,6.294096,48
109603687,13467168,1308,41919809,3207,41959085,10297,0,0,0,273105866,180297,266814386,6.294096,48
109603729,13468476,1308,41903749,3208,41959121,10298,0,0,0,273108482,180319,266815694,6.295404,48
109640475,13469784,1308,41940495,3208,41918897,10299,0,0,0,273111098,180315,266817002,6.295404,48
109640598,13471092,1308,41924514,3209,41955643,10300,0,0,0,273113714,180328,266818310,6.296712,48
109640637,13472400,1308,41924553,3209,41955663,10301,0,0,0,273113714,180316,266819618,6.296712,48
109686200,13473708,1308,41954015,3210,41955702,10302,0,0,0,273116330,180342,266820926,6.29802,48
109686317,13475016,1308,41954132,3209,41961948,10303,0,0,0,273118946,180317,266822234,6.29802,48
109686368,13476324,1308,41938083,3210,41962065,10304,0,0,0,273121562,180332,266823542,6.299328,48
109724348,13477632,1308,41976063,3210,41962014,10305,0,0,0,273121562,180322,266824850,6.299328,48
109724473,13478940,1308,41960085,3211,41999994,10306,0,0,0,273124178,180329,266826158,6.300636,48
109724522,13480248,1308,41960134,3211,42000070,10307,0,0,0,273126794,180312,266827466,6.300636,48
109764508,13481556,1308,41984020,3212,42000119,10308,0,0,0,273129410,180334,266828774,6.301944,48
109764628,13482864,1308,41984140,3211,41999867,10309,0,0,0,273130718,180307,266830082,6.301944,48
109764681,13484172,1308,41960602,3212,41999987,10310,0,0,0,273133334,180322,266831390,6.303252,48
109764738,13485480,1308,41960659,3212,41960664,10311,0,0,0,273133334,180314,266832698,6.303252,48
109803754,13486788,1308,41991063,3213,41960721,10312,0,0,0,273135950,180345,266834006,6.30456,48
109803873,13488096,1308,41991182,3213,41999629,10313,0,0,0,273138566,180323,266835314,6.30456,48
109803924,13489404,1308,41959142,3214,41999748,10314,0,0,0,273141182,180341,266836622,6.305868,48
109844173,13490712,1308,41999391,3213,41959205,10315,0,0,0,273141182,180341,266837930,6.305868,48
109844297,13492020,1308,41991464,3214,41999454,10316,0,0,0,273143798,180357,266839238,6.307176,48
109844347,13493328,1308,41991514,3214,41999467,10317,0,0,0,273146414,180343,266840546,6.307176,48
109884193,13494636,1308,42015257,3215,41999517,10318,0,0,0,273149030,180367,266841854,6.308484,48
109884312,13495944,1308,42015376,3215,42039312,10319,0,0,0,273150338,180343,266843162,6.308484,48
109884365,13497252,1308,41999331,3216,42039431,10320,0,0,0,273152954,180360,266844470,6.309792,48
109884422,13498560,1308,41999388,3215,41999497,10321,0,0,0,273152954,180350,266845778,6.309792,48
109924573,13499868,1308,42000496,3216,41999554,10322,0,0,0,273155570,180379,266847086,6.3111,48
109924703,13501176,1308,42000626,3216,42000558,10323,0,0,0,273158186,180371,266848394,6.3111,48
109924759,13502484,1308,41992630,3217,42000688,10324,0,0,0,273160802,180401,266849702,6.312408,48
109924793,13503792,1308,41992664,3217,42000636,10325,0,0,0,273160802,180399,266851010,6.312408,48
109963451,13505100,1308,41999434,3218,42000670,10326,0,0,0,273163418,180435,266852318,6.313716,48
109963570,13506408,1308,41999553,3217,41999494,10327,0,0,0,273166034,180430,266853626,6.313716,48
109964454,13507716,1308,41992386,3218,41999613,10328,0,0,0,273168650,180463,266854934,6.315024,48
109964539,13509024,1308,41992471,3218,42000376,10329,0,0,0,273168650,180462,266856242,6.315024,48
109964598,13510332,1308,41976427,3219,42000461,10330,0,0,0,273171266,180500,266857550,6.316332,48
110004739,13511640,1308,42016568,3219,42000443,10331,0,0,0,273173882,180508,266858858,6.316332,48
110004853,13512948,1308,42000584,3220,42040584,10332,0,0,0,273176498,180531,266860166,6.31764,48
110004892,13514256,1308,41992572,3220,42001087,10333,0,0,0,273176498,180528,266861474,6.31764,48
110004925,13515564,1308,41992605,3220,42001028,10334,0,0,0,273176498,180566,266862782,6.318948,48
110044308,13516872,1308,41999738,3221,42001061,10335,0,0,0,273181730,180567,266864090,6.318948,48
110044422,13518180,1308,41999852,3220,41999803,10336,0,0,0,273184346,180601,266865398,6.320256,48
