now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B,cwnd_pkt
56404045,1308,2,0,3.730416,48,26718886,8339808,0,12006132,2852
56404078,1308,2,0,3.731724,48,26718919,8341116,0,12006132,2853
56443916,1308,2,0,3.731724,48,26719383,8342424,0,12013980,2853
56443989,1308,2,0,3.733032,48,26719456,8343732,0,12013980,2854
56444934,1308,2,0,3.733032,48,26716138,8345040,0,12013980,2854
56445004,1308,2,0,3.73434,48,26716208,8346348,0,12013980,2855
56445042,1308,2,0,3.73434,48,26680104,8347656,0,12013980,2855
56484060,1308,2,0,3.735648,48,26719122,8348964,0,12021828,2856
56484136,1308,2,0,3.735648,48,26714916,8350272,0,12021828,2856
56484175,1308,2,0,3.736956,48,26714955,8351580,0,12021828,2857
56484208,1308,2,0,3.736956,48,26680056,8352888,0,12021828,2857
56524486,1308,2,0,3.738264,48,26718187,8354196,0,12027060,2858
56524560,1308,2,0,3.738264,48,26718261,8355504,0,12027060,2858
56524599,1308,2,0,3.739572,48,26679641,8356812,0,12027060,2859
56524636,1308,2,0,3.739572,48,26677526,8358120,0,12027060,2859
56524667,1308,2,0,3.74088,48,26677557,8359428,0,12027060,2860
56564453,1308,2,0,3.74088,48,26679585,8360736,0,12034908,2860
56564530,1308,2,0,3.742188,48,26677503,8362044,0,12034908,2861
56564568,1308,2,0,3.742188,48,26677541,8363352,0,12034908,2861
56564602,1308,2,0,3.743496,48,26640041,8364660,0,12034908,2862
56604249,1308,2,0,3.743496,48,26677523,8365968,0,12040140,2862
56604323,1308,2,0,3.744804,48,26677597,8367276,0,12040140,2863
56604363,1308,2,0,3.744804,48,26639452,8368584,0,12040140,2863
56604424,1308,2,0,3.746112,48,26599543,8369892,0,12040140,2864
56604457,1308,2,0,3.746112,48,26599576,8371200,0,12040140,2864
56644088,1308,2,0,3.74742,48,26599218,8372508,0,12047988,2865
56644186,1308,2,0,3.74742,48,26599316,8373816,0,12047988,2865
56644228,1308,2,0,3.748728,48,26594995,8375124,0,12047988,2866
56644262,1308,2,0,3.748728,48,26595029,8376432,0,12047988,2866
56684417,1308,2,0,3.750036,48,26599431,8377740,0,12053220,2867
56684490,1308,2,0,3.750036,48,26599504,8379048,0,12053220,2867
56684531,1308,2,0,3.751344,48,26595168,8380356,0,12053220,2868
56684564,1308,2,0,3.751344,48,26595201,8381664,0,12053220,2868
56684596,1308,2,0,3.752652,48,26559801,8382972,0,12053220,2869
56724800,1308,2,0,3.752652,48,26600005,8384280,0,12061068,2869
56724876,1308,2,0,3.75396,48,26595686,8385588,0,12061068,2870
56725178,1308,2,0,3.75396,48,26595988,8386896,0,12061068,2870
56725243,1308,2,0,3.755268,48,26559831,8388204,0,12061068,2871
56764001,1308,2,0,3.755268,48,26598589,8389512,0,12068916,2871
56764318,1308,2,0,3.756576,48,26594497,8390820,0,12068916,2872
56764383,1308,2,0,3.756576,48,26594562,8392128,0,12068916,2872
56804587,1308,2,0,3.757884,48,26625938,8393436,0,12074148,2873
56804661,1308,2,0,3.757884,48,26626012,8394744,0,12074148,2873
56804701,1308,2,0,3.759192,48,26599795,8396052,0,12074148,2874
56804735,1308,2,0,3.759192,48,26597618,8397360,0,12074148,2874
56844668,1308,2,0,3.7605,48,26637551,8398668,0,12081996,2875
56844744,1308,2,0,3.7605,48,26600141,8399976,0,12081996,2875
56884335,1308,2,0,3.761808,48,26639732,8401284,0,12087228,2876
56884412,1308,2,0,3.761808,48,26635375,8402592,0,12087228,2876
56924521,1308,2,0,3.763116,48,26675484,8403900,0,12095076,2877
56924598,1308,2,0,3.763116,48,26666684,8405208,0,12095076,2877
56964805,1308,2,0,3.764424,48,26706891,8406516,0,12102924,2878
57004887,1308,2,0,3.764424,48,26719873,8407824,0,12108156,2878
57004961,1308,2,0,3.765732,48,26719947,8409132,0,12108156,2879
57005001,1308,2,0,3.765732,48,26715540,8410440,0,12108156,2879
57045255,1308,2,0,3.76704,48,26755794,8411748,0,12116004,2880
57124805,1308,2,0,3.76704,48,26826447,8413056,0,12129084,2880
57204912,1308,2,0,3.768348,48,26906554,8414364,0,12142164,2881
57204991,1308,2,0,3.768348,48,26880511,8415672,0,12142164,2881
57244251,1308,2,0,3.769656,48,26919771,8416980,0,12150012,2882
57284770,1308,2,0,3.769656,48,26955835,8418288,0,12155244,2882
57284845,1308,2,0,3.770964,48,26955910,8419596,0,12155244,2883
57364462,1308,2,0,3.770964,48,27026609,8420904,0,12168324,2883
57404705,1308,2,0,3.772272,48,27066852,8422212,0,12176172,2884
57445412,1308,2,0,3.772272,48,27080432,8423520,0,12184020,2884
57484019,1308,2,0,3.77358,48,27116807,8424828,0,12189252,2885
57524784,1308,2,0,3.77358,48,27157572,8426136,0,12197100,2885
57524862,1308,2,0,3.774888,48,27120431,8427444,0,12197100,2886
57525120,1308,2,0,3.774888,48,27118453,8428752,0,12197100,2886
57564056,1308,2,0,3.776196,48,27157389,8430060,0,12202332,2887
57564132,1308,2,0,3.776196,48,27119520,8431368,0,12202332,2887
57564169,1308,2,0,3.777504,48,27119557,8432676,0,12202332,2888
57644821,1308,2,0,3.777504,48,27195726,8433984,0,12210180,2888
57684903,1308,2,0,3.778812,48,27235808,8435292,0,12212796,2889
57685013,1308,2,0,3.778812,48,27226943,8436600,0,12214104,2889
57685065,1308,2,0,3.78012,48,27226995,8437908,0,12216720,2890
57724244,1308,2,0,3.78012,48,27199527,8439216,0,12216720,2890
57724354,1308,2,0,3.781428,48,27197388,8440524,0,12219336,2891
57724405,1308,2,0,3.781428,48,27197439,8441832,0,12221952,2891
57724441,1308,2,0,3.782736,48,27159776,8443140,0,12221952,2892
57764963,1308,2,0,3.782736,48,27200298,8444448,0,12224568,2892
57804888,1308,2,0,3.784044,48,27235712,8445756,0,12227184,2893
57804999,1308,2,0,3.784044,48,27235823,8447064,0,12229800,2893
57844749,1308,2,0,3.785352,48,27239577,8448372,0,12232416,2894
57884587,1308,2,0,3.785352,48,27279415,8449680,0,12233724,2894
57884711,1308,2,0,3.78666,48,27240032,8450988,0,12236340,2895
57925478,1308,2,0,3.78666,48,27278534,8452296,0,12237648,2895
57925598,1308,2,0,3.787968,48,27278654,8453604,0,12240264,2896
57964909,1308,2,0,3.787968,48,27280054,8454912,0,12240264,2896
57965036,1308,2,0,3.789276,48,27280181,8456220,0,12242880,2897
58004290,1308,2,0,3.789276,48,27314890,8457528,0,12245496,2897
58043991,1308,2,0,3.790584,48,27354591,8458836,0,12248112,2898
