now_us,each_delv_MB,ss_status,lost_pkt,cwnd_MB,ssthresh_pkt,rtt_us,total_delv_B,total_retrans_pkt,total_sent_B
122597608,1308,1,0,11.505168,2147483647,57075349,11493396,0,22997256
122597662,1308,1,0,11.506476,2147483647,57075403,11494704,0,22999872
122637328,1308,1,0,11.507784,2147483647,57111552,11496012,0,23002488
122637438,1308,1,0,11.509091999999999,2147483647,57111662,11497320,0,23005104
122637490,1308,1,0,11.510399999999999,2147483647,57104679,11498628,0,23007720
122679054,1308,1,0,11.511707999999999,2147483647,57146243,11499936,0,23010336
122679166,1308,1,0,11.513016,2147483647,57139323,11501244,0,23012952
122679218,1308,1,0,11.514324,2147483647,57139375,11502552,0,23015568
122721234,1308,1,0,11.515632,2147483647,57174359,11503860,0,23018184
122721349,1308,1,0,11.51694,2147483647,57174474,11505168,0,23020800
122721402,1308,1,0,11.518248,2147483647,57167495,11506476,0,23023416
122761707,1308,1,0,11.519556,2147483647,57207800,11507784,0,23026032
122761815,1308,1,0,11.520864,2147483647,57200408,11509092,0,23028648
122800814,1308,1,0,11.522172,2147483647,57239407,11510400,0,23031264
122802079,1308,1,0,11.52348,2147483647,57234109,11511708,0,23033880
122802165,1308,1,0,11.524788,2147483647,57234195,11513016,0,23036496
122842077,1308,1,0,11.526095999999999,2147483647,57267077,11514324,0,23039112
122842193,1308,1,0,11.527403999999999,2147483647,57267193,11515632,0,23041728
122842245,1308,1,0,11.528711999999999,2147483647,57260216,11516940,0,23044344
122877320,1308,1,0,11.530019999999999,2147483647,57295291,11518248,0,23046960
122877430,1308,1,0,11.531328,2147483647,57275544,11519556,0,23049576
122917043,1308,1,0,11.532636,2147483647,57315157,11520864,0,23052192
122917154,1308,1,0,11.533944,2147483647,57311754,11522172,0,23054808
122917205,1308,1,0,11.535252,2147483647,57311805,11523480,0,23057424
122960149,1308,1,0,11.53656,2147483647,57347721,11524788,0,23060040
122960258,1308,1,0,11.537868,2147483647,57347830,11526096,0,23062656
122999117,1308,1,0,11.539176,2147483647,57379662,11527404,0,23065272
122999225,1308,1,0,11.540484,2147483647,57379770,11528712,0,23067888
123038408,1308,1,0,11.541792,2147483647,57396629,11530020,0,23070504
123081414,1308,1,0,11.543099999999999,2147483647,57439635,11531328,0,23073120
123081524,1308,1,0,11.544407999999999,2147483647,57436232,11532636,0,23075736
123117772,1308,1,0,11.545715999999999,2147483647,57472480,11533944,0,23078352
123117882,1308,1,0,11.547023999999999,2147483647,57465565,11535252,0,23080968
123161665,1308,1,0,11.548332,2147483647,57509348,11536560,0,23083584
123199049,1308,1,0,11.54964,2147483647,57539708,11537868,0,23086200
123199158,1308,1,0,11.550948,2147483647,57539817,11539176,0,23088816
