now_us,bytes_acked,mss,rtt_us,tp_deliver_rate,tp_interval,tp_delivered,lost_pkt,total_retrans_pkt,app_limited,snd_nxt,sk_pacing_rate
6198760,312612,1308,955631,55,1000309,240,0,0,0,2781086479,140558
6198801,313920,1308,934660,56,1000398,241,0,0,0,2781089095,141086
6237972,315228,1308,973831,56,960310,242,0,0,0,2781089095,140432
6238065,316536,1308,952943,57,999481,243,0,0,0,2781091711,140834
6279939,317844,1308,994817,56,959023,244,0,0,0,2781094327,140086
6280035,319152,1308,974328,57,1000897,245,0,0,0,2781096943,140342
6319645,320460,1308,1013938,57,1000910,246,0,0,0,2781096943,139477
6319739,321768,1308,993451,58,1040520,247,0,0,0,2781099559,139664
6359906,323076,1308,1033618,57,1001420,248,0,0,0,2781102175,138756
6359995,325692,1308,1013569,58,1041587,250,0,0,0,2781103483,138884
6398701,327000,1308,1032226,58,1041589,251,0,0,0,2781108715,139556
6398764,328308,1308,1032289,58,1038621,252,0,0,0,2781108715,138394
6437860,329616,1308,1051709,59,1038684,253,0,0,0,2781111331,138989
6437951,330924,1308,1051800,59,1077698,254,0,0,0,2781113947,137776
6477789,332232,1308,1072319,60,1077789,255,0,0,0,2781116563,138301
6477894,333540,1308,1072424,60,1078292,256,0,0,0,2781117871,137039
6517673,334848,1308,1092887,61,1078397,257,0,0,0,2781120487,137496
6518129,336156,1308,1079709,61,1118093,258,0,0,0,2781121795,136208
6518170,337464,1308,1079750,61,1079763,259,0,0,0,2781124411,136836
6560110,338772,1308,1081838,62,1079804,260,0,0,0,2781124411,136055
6560203,340080,1308,1081931,60,1081891,261,0,0,0,2781127027,136849
6598379,341388,1308,1110702,61,1081984,262,0,0,0,2781129643,136226
6598468,342696,1308,1110791,62,1120160,263,0,0,0,2781132259,136709
6637383,345312,1308,1117985,63,1120249,265,0,0,0,2781132259,135833
6637485,346620,1308,1108654,63,1118043,266,0,0,0,2781136183,136429
6680022,347928,1308,1151191,63,1118048,267,0,0,0,2781138799,137275
6680166,349236,1308,1121026,64,1160585,268,0,0,0,2781141415,136066
6718273,350544,1308,1154459,64,1121079,269,0,0,0,2781144031,136934
6718367,351852,1308,1154553,63,1159065,270,0,0,0,2781145339,135912
