now_us,bbr_full_bw,bbr_full_bw_cnt,bbr_max_bw,round_start,app_limited,bbr_min_rtt,bbr_state
5239551,713,1,1108,0,0,598277,0
5239575,713,1,1108,0,0,598277,0
5239599,713,1,1108,0,0,598277,0
5279664,713,1,1108,0,0,598277,0
5279754,713,1,1108,0,0,598277,0
5279789,713,1,1108,0,0,598277,0
5279839,713,1,1108,0,0,598277,0
5319332,713,1,1108,0,0,598277,0
5319416,713,1,1108,0,0,598277,0
5319485,713,1,1108,0,0,598277,0
5319509,713,1,1108,0,0,598277,0
5319532,713,1,1132,0,0,598277,0
5358377,713,1,1132,0,0,598277,0
5358463,713,1,1132,0,0,598277,0
5358501,713,1,1144,0,0,598277,0
5358613,713,1,1156,0,0,598277,0
5358654,713,1,1156,0,0,598277,0
5399068,713,1,1156,0,0,598277,0
5399158,713,1,1170,0,0,598277,0
5399194,713,1,1183,0,0,598277,0
5399223,713,1,1195,0,0,598277,0
5438868,713,1,1195,0,0,598277,0
5438958,713,1,1195,0,0,598277,0
5438992,713,1,1195,0,0,598277,0
5439016,713,1,1220,0,0,598277,0
5439037,713,1,1233,0,0,598277,0
5479135,713,1,1233,0,0,598277,0
5479221,713,1,1233,0,0,598277,0
5479252,713,1,1233,0,0,598277,0
5479274,713,1,1233,0,0,598277,0
5519657,713,1,1233,0,0,598277,0
5519746,713,1,1233,0,0,598277,0
5519782,713,1,1233,0,0,598277,0
5519811,713,1,1245,0,0,598277,0
5519834,713,1,1283,0,0,598277,0
5559428,713,1,1283,0,0,598277,0
5559519,713,1,1283,0,0,598277,0
5559553,713,1,1322,0,0,598277,0
5559578,713,1,1322,0,0,598277,0
5559602,713,1,1335,0,0,598277,0
5599905,713,1,1347,0,0,598277,0
5600309,713,1,1359,0,0,598277,0
5600350,713,1,1400,0,0,598277,0
5600374,713,1,1413,0,0,598277,0
5640498,713,1,1414,0,0,598277,0
5640586,713,1,1427,0,0,598277,0
5640623,713,1,1427,0,0,598277,0
5640645,713,1,1440,0,0,598277,0
5640666,713,1,1486,0,0,598277,0
5679156,713,1,1486,0,0,598277,0
5679469,713,1,1486,0,0,598277,0
5679513,713,1,1486,0,0,598277,0
5679539,713,1,1486,0,0,598277,0
5719366,713,1,1493,0,0,598277,0
5719455,713,1,1493,0,0,598277,0
5719489,713,1,1506,0,0,598277,0
5719513,713,1,1556,0,0,598277,0
5719534,713,1,1570,0,0,598277,0
5759736,713,1,1570,0,0,598277,0
5759826,713,1,1570,0,0,598277,0
5759861,713,1,1582,0,0,598277,0
5759884,713,1,1595,0,0,598277,0
5759942,713,1,1596,0,0,598277,0
5799734,713,1,1596,0,0,598277,0
5799823,713,1,1596,0,0,598277,0
5799857,713,1,1635,0,0,598277,0
5799885,1691,0,1691,1,0,598277,0
5799919,1691,0,1691,0,0,598277,0
5808925,1691,0,1691,0,0,598277,0
5808974,1691,0,1737,0,0,598277,0
5834044,1691,0,1737,0,0,598277,0
5834130,1691,0,1758,0,0,598277,0
5834155,1691,0,1759,0,0,598277,0
